,,,,
,,,,
,,,,
,,,,
numBastidor,matricula,marca,modelo,anioMatriculacion
1GYEK63N64R928188,7878MJJ,Mercedes-Benz,S-Class,2001
5N1AZ2MH8FN810313,4009MNB,Lincoln,Navigator L,2012
1G4GB5GRXCF703788,0225FBL,Ford,Club Wagon,1997
KNDJN2A22F7704136,3469FHJ,Saab,9000,1989
1G4HC5EM9BU188320,8697HKB,Buick,Regal,1989
3D73Y3HL0AG438610,1492CBL,Plymouth,Acclaim,1995
1FTEW1C84AF104451,5904FGC,Mercury,Capri,1985
3D7JB1EK1BG719437,1996NBG,Mazda,B-Series Plus,2002
1HGCP2E31CA918654,0109FHC,Cadillac,Escalade EXT,2012
2G4WS55J551569923,0062HLL,Volvo,960,1997
WDDGF5EB7BA903642,7952CNK,Dodge,Colt,1994
1VWAH7A33DC169543,6385MBG,Toyota,4Runner,2007
JN1CV6EK9FM532959,5482DDK,Ford,F-Series,1992
WAUBG78E66A378949,4839CGJ,Mercedes-Benz,CLS-Class,2009
4USDU53557L949802,0508CGL,Dodge,Dakota,2009
1G6DM8EG3A0827523,1318BJJ,Lexus,RX,2000
WVWDB7AJ1EW776749,7213NMD,BMW,X5,2004
WAUUFAFHXAN803581,3411FDG,Plymouth,Voyager,1996
1FAHP3HN0AW947480,1596LGC,Porsche,911,2013
5N1AN0NU6FN997143,9385CBF,Toyota,Camry,2001
1GD12YEG3FF757317,3739KFF,Volvo,XC70,2006
3D73M4CL4BG643471,6577BFJ,Ford,Thunderbird,1994
3C6TD5NT8CG227428,0022LCC,Acura,TL,1998
WBAUL7C53DV346476,5279DDH,Scion,tC,2013
WAUVVAFR5CA104742,3241GCK,Toyota,Camry Hybrid,2012
1D7RE3BK6BS701583,2166HJF,Kia,Optima,2003
1G6DF8EY8B0976000,1185FJJ,Nissan,Maxima,2012
5NPDH4AE7BH663292,5847BKB,Honda,CR-Z,2012
WAUML54B92N203702,5073HLC,Isuzu,Ascender,2003
3VWML7AJ1DM056473,3539CFC,Mazda,626,1985
WAUFL44D82N898811,6966MJN,GMC,Canyon,2006
1GD312CG9BF571335,4848CDB,GMC,2500 Club Coupe,1997
4A31K5DF8CE577406,1825FFH,Toyota,Tacoma,1995
JH4CU4F66CC708730,8847HJJ,Land Rover,Range Rover,1998
1D7RB1GP8AS632394,4834BBN,Buick,Park Avenue,2001
3D73Y4ELXAG000574,2116BNM,Land Rover,Discovery,1998
WAUXL68E14A366300,8591JHB,Aston Martin,Vanquish S,2006
2HNYD18652H730789,9560MKN,Land Rover,Defender,1993
1FTSW3B56AE512316,7957MLF,Nissan,Pathfinder,1994
5GAKRBEDXCJ468050,4165LMF,Volkswagen,Eos,2007
2HKRM3H58FH210693,4932DBK,Chevrolet,Express 1500,2003
SCFAD02AX6G935686,5576BNK,Volvo,C70,2001
5TDBW5G11AS435188,7914MKC,Ford,F150,1995
WAUHFAFL8EA430429,9120LFK,Audi,S6,1995
3D73M3HLXBG392720,7142JNC,Ford,F250,1999
1FTEW1CW1AK177945,8413JBD,Ford,ZX2,2001
1G6DA67V590131752,0361NFM,Lotus,Esprit,1997
JTDKDTB3XC1458360,1133GKH,Acura,TSX,2004
1G6AL5SX8D0993386,9722NLD,GMC,3500,1992
1C3CDZABXCN273769,9177LJF,Lexus,SC,2005
5UXFG8C54EL838810,7865BHC,Maserati,GranTurismo,2008
KNAGG4A88A5585305,4557HFL,Subaru,Outback,2000
1C3BCBGG4CN558444,4294CCM,Mazda,626,1983
1G6DA8EY4B0294553,1968MMC,Dodge,Ram 3500,2003
WAUHFAFLXFN295951,6801HHF,Chrysler,New Yorker,1995
WBACK73401L061733,3682FBJ,Land Rover,Range Rover,1995
WA1AV94L47D915459,0344NBH,Mercury,Topaz,1992
1FMJK1F5XCE604646,5960JJK,BMW,650,2006
WAUKFBFL0BA418380,8990HHJ,Acura,TSX,2008
3VW467ATXCM310687,6070DFJ,Volkswagen,Jetta,1996
WVWED7AJ6CW796393,1507DJL,Land Rover,Defender 110,1993
1FTWW3DY9AE011770,7175MMJ,Eagle,Vision,1996
WAUSH98E37A298454,2861KHG,Nissan,370Z,2009
1GKKRNED7CJ451968,0607DDB,Mercedes-Benz,300CE,1993
2C4RDGEG9ER931362,2180NDM,Mercedes-Benz,300SD,1992
WBAPM5C51BA304908,4636GMJ,Plymouth,Acclaim,1994
4T1BF1FK6EU922094,6392JFF,GMC,1500 Club Coupe,1997
1GKS1AEC5FR214117,8151JHC,Isuzu,Rodeo,2001
1FM5K7B84EG408519,3739NNB,Ford,Escort,1987
JH4NA21623T315823,2949BJD,Mazda,MPV,1992
WBABN53433J292258,1699LMB,Volkswagen,CC,2012
SCFHDDAT3EG780907,7069LFG,Hillman,Minx Magnificent,1950
2B3CA4CD2AH010124,6340GHB,Saab,9-2X,2005
KNAGM4A7XB5155244,3511GDC,Chevrolet,Colorado,2009
1G4HP52K04U062146,0616NHC,Lincoln,Town Car,1993
1GKS1CKJ1FR282347,9614DFD,Volkswagen,Rabbit,2010
WAUAF98E77A421349,3965NGH,Ford,Aerostar,1991
WDDPK4HA4FF563285,0527KKF,Chevrolet,Impala,1994
WAUDFAFL0DA284198,9423LMN,Mercedes-Benz,300SE,1992
WAUKFAFL1EN118984,8423GJJ,Toyota,Paseo,1994
4T1BF3EKXBU175947,2660MDL,Oldsmobile,Intrigue,2001
1GKS1HE01DR672281,4926KBK,Subaru,Legacy,1997
3GYFK66NX6G966204,5461GFM,BMW,X6 M,2012
JH4KB16608C103156,5626BHG,Pontiac,Grand Am,1989
JN1BJ0HP1EM824616,9336BNH,Hyundai,Tiburon,2007
WA1LMBFE0AD985324,0197FBC,Chrysler,300,2010
SCBBB7ZH1BC608795,7332NGJ,Audi,A8,2004
JTDZN3EU5D3412697,8971LMD,Fairthorpe,Rockette,1960
WBS3U9C59FP754195,3356DCK,Jaguar,XK,2006
WBABN53442P675797,7368GCN,Toyota,Land Cruiser,2000
KNAGM4AD7F5209160,4517MHD,Geo,Metro,1992
1FTSS3EL8AD945941,1224GGJ,Jaguar,S-Type,2008
1FTEX1CW4AK172705,4982KMC,Lexus,GX,2010
1GYS4JEF5ER784933,4131BDJ,GMC,Savana 2500,2004
1GYS3TKJ8FR559317,8404JHJ,GMC,Rally Wagon 2500,1993
WAU3FAFR9CA157481,7164BKH,Audi,S4,2004
WBAYG0C51DD302026,3064HLK,Nissan,JUKE,2012
5GAKRAKD9FJ356536,1427CDL,Kia,Sorento,2006
WAUVC68E22A083036,3587HNG,Chevrolet,2500,1996
JA4AP3AU1CZ874290,9906MFL,Ford,Ranger,1998
WBXPC93419W775445,0688MJL,Acura,Legend,1993
WAUKF78E18A584749,8269MHH,Plymouth,Voyager,1999
5J6TF1H32FL972331,8190GMF,Ford,E350,2010
1G6YV36A575564071,0645BHB,BMW,645,2004
1D4RE5GG8BC624531,6947NJM,BMW,3 Series,2010
WVGAV7AX9CW208109,8679LCB,Hyundai,Elantra,1997
WBAKE3C52CE699915,6697HDD,Volvo,XC90,2009
YV126MFB5F1061719,0144FNC,Dodge,Dakota Club,2002
1G6DS8E38C0116891,5739DMG,Audi,Q5,2012
WAUAH74F58N948104,5543CGM,Subaru,Forester,2006
4JGCB2FEXCA802426,9110KHF,Chevrolet,Silverado 1500,2007
3G5DA03E74S209988,4713NCM,Nissan,Sentra,1995
2B3CK5CT2AH120830,0840LCN,GMC,Rally Wagon 3500,1993
4JGCB2FB7AA100440,1435CJL,Audi,A8,2007
WBAKE5C53BE389797,6181KMF,Mercury,Milan,2007
TRURD38J991076016,2835GHJ,Mercedes-Benz,W201,1985
WAUBFCFLXCN486203,0407MMB,BMW,X5,2009
3VWML7AJ4DM585125,3885FJB,Bentley,Continental Super,2010
WAUAFAFL9EN234350,7764LCK,Pontiac,GTO,1966
YV1952AS8D1018390,7716DKH,Acura,Integra,1996
