codLinea,codFactura,codPieza,cantidad,pvpUnitario,pvpTotal
503174344852848,3867103UJ3670G4984IT,EUJ222708A,2,39.91,79.82
495525167501871,3867103UJ3670G4984IT,RDX132117J,1,102.9,102.9
338140974794965,3867103UJ3670G4984IT,7711279,4,148.9,595.6
354295849236599,3867103UJ3670G4984IT,BOL-M040002,1,63.9,63.9
527775147198015,9169993FO8059S3729BM,0334962H,2,446.9,893.8
910613596110600,9169993FO8059S3729BM,EUJ222708A,4,39.91,159.64
537850755649795,9169993FO8059S3729BM,RDX132117J,2,102.9,205.8
866703174713992,9169993FO8059S3729BM,FCS134688L,5,17.5,87.5
544234905154256,3566760PH3728X7734PI,PRO-04220002,1,112.91,112.91
10286598417528,3566760PH3728X7734PI,VDB678003X,1,133.9,133.9
988836086974840,3566760PH3728X7734PI,NFG964288F,1,13.9,13.9
528325082525159,9542873JB6166U4096YQ,PRO-04220002,1,112.91,112.91
331635178463025,2225305EU1675M2012YT,102091,2,98.91,197.82
522165318969763,4485341IX5815P4789OG,108939,1,82.9,82.9
498324845117244,4485341IX5815P4789OG,TUP782394K,4,333.8,1335.2
447794371334854,4485341IX5815P4789OG,EUJ222708A,4,39.91,159.64
